,Name,Tweet
0,cabbagetv,"FCC commissioner urges Google, Apple to drop TikTok app  https://t.co/M78pgkPxLs"
1,wilfriedkaiser,@technikblog_ch @thepumpapp @Apple Das Auto muss davon erfahren damit es die Batterie vor konditionieren kann.   Hoffe das geht bald falls es aktuell noch nicht so ist.
2,lulu_19_09,"@GwenLovesMovies Look, of course there were/was bad Apples and some murky situations,as in all fandoms I might add... but These groups are violent and some of them neo fascists... it's outrageous to compare violence with fandom wars. Besides, lots of people from the movement are not even"
3,judiebinns,@DonaldJTrumpJr Rotten apple falls close to diseased tree.
4,enjoyovaltine,unfortunately i am an Apple Music user
5,jftnova,@zylonggs @NAEcompReport Omg Android vs Apple argument.
6,nyxwithcoffee,@LotusLovesLotus Calling on Apple and Google to remove it. What a farce!  https://t.co/SBBTWmv2ub
7,ashley_deltoro_,"I didn’t eat at all Monday , and finally ate an apple last night . Tell me why I thought I could eat a full meal and I’d be fine … I’m gonna puke"
8,rhpd8645,@SingleDallasGuy @WSJ @Apple @Google No you attempted to provide an answer but failed. What can you not say?
9,artsasch,@Westy447 @tomisbeII Rotten apples etc..
10,platomasochist,"@leezeldin You’re not gonna win, but like the other rotten apples in the GOP basket, just collect all the cash u can until you’re certified as the loser. Deal?"
11,pilky,And there's another kernel panic as a result of turning a monitor off and on to fix the fact that @unity3d froze one of my monitors. Don't know whether to blame Apple or Unity or both.
12,anonymotalk,@Reuters NOW THAT'S A CRYING SHAME:  Somebody somewhere has been watching too much TV.  One bad apple out there smuggling human beings and ruining the reputation of those in the transportation industy.
13,timclarepoet,I can't stop thinking about the Lament Configuration from Hellraiser but instead of opening a portal that summons the cenobites if you twist the box a certain way it just starts leaking juice like pouring apple juice &amp; you're like oh shit &amp; your jeans are soaked &amp; it doesn't stop
14,newsnation,"FCC commissioner urges Google, Apple to drop TikTok app  https://t.co/4U8ES7PsAx"
15,perfumecrawf,currently trying to figure out how an apple watch works and how the hell do y’all
16,lilpatti2009,how do I block scam likely calls????! I’m sick of this shit @Apple every damn day 😡
17,factor_nueve,"Adiós a #TikTok, #Apple y #Google retiran la #App de su tienda   , #Geek #Tecnología    https://t.co/qFIYgXJYrC"
18,scodaillest,Imagine planting a seed for a apple tree and only to find out much later the seed was for a oak tree. No edible fruits will be produced.  This is what it’s like to run into a relationship with someone’s representative without taking time to carefully examine what lies beneath.
19,eihaime,@iAMYUNGLOS @Apple I do pay for Apple Music and still don't have it for all apps hahahaha 🥺🥺🥺🥺
20,swiftpackco,"kean/NukeUI (436⭐️) has been updated to 0.8.3  https://t.co/qn8Ktv4SBb - Lazy image loading for Apple platforms: SwiftUI, UIKit, AppKit"
